name,rarity,attunementRequired,cursed,sentient,weight,baseItem,itemType,conditionImmunities,damageImmunities,damageResistances,firearm,range,weapon,weaponBonus,weaponCategory,weaponProperty,damage1,damage1Type,damage2,grantsProficiency,armor,armorClassBonus,armorClassFixed,requiredStrength,stealth,poison,tattoo,savingThrowBonus,spellAttackBonus,spellSaveDCBonus,charges,recharge,attachedSpells
Shortsword,none,0,0,0,2.0,,M,,,,0,,1,0,martial,"F,L",1D6,P,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Shotgun,none,0,0,0,7.0,,R,,,,1,30/90,1,0,martial,"AF,RLD,2H",2D8,P,2D8,0,0,0,,0,0,0,0,0,0,0,0,,
Sickle,none,0,0,0,2.0,,M,,,,0,,1,0,simple,L,1D4,S,1D4,0,0,0,,0,0,0,0,0,0,0,0,,
Sling,none,0,0,0,0.0,,R,,,,0,30/120,1,0,simple,A,1D4,B,1D4,0,0,0,,0,0,0,0,0,0,0,0,,
Sling Bullet,none,0,0,0,7.5e-2,,A,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Sling Bullets (20),none,0,0,0,1.5,,A,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Spear,none,0,0,0,3.0,,M,,,,0,20/60,1,0,simple,"T,V",1D6,P,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Spiked Armor,unknown,0,0,0,45.0,,MA,,,,0,,0,0,,,0,,0,0,1,0,14,0,1,0,0,0,0,0,0,,
Splint Armor,none,0,0,0,60.0,,HA,,,,0,,0,0,,,0,,0,0,1,0,17,15,1,0,0,0,0,0,0,,
Staff,none,0,0,0,4.0,,SCF,,,,0,,0,0,simple,V,1D6,B,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Studded Leather Armor,none,0,0,0,13.0,,LA,,,,0,,0,0,,,0,,0,0,1,0,12,0,0,0,0,0,0,0,0,,
Trident,none,0,0,0,4.0,,M,,,,0,20/60,1,0,martial,"T,V",1D6,P,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Wand,none,0,0,0,1.0,,SCF,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
War Pick,none,0,0,0,2.0,,M,,,,0,,1,0,martial,,1D8,P,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
Warhammer,none,0,0,0,2.0,,M,,,,0,,1,0,martial,V,1D8,B,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
Whip,none,0,0,0,3.0,,M,,,,0,,1,0,martial,"F,R",1D4,S,1D4,0,0,0,,0,0,0,0,0,0,0,0,,
Wooden Staff,none,0,0,0,4.0,,SCF,,,,0,,0,0,simple,V,1D6,B,1D6,0,0,0,,0,0,0,0,0,0,0,0,,
Yklwa,none,0,0,0,3.0,,M,,,,0,10/30,1,0,simple,T,1D8,P,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
+1 All-Purpose Tool,uncommon,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,1,1,0,,
+1 Amulet of the Devout,uncommon,1,0,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,1,1,0,,
+1 Arcane Grimoire,uncommon,1,0,0,3.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,1,1,0,,
+1 Bloodwell Vial,uncommon,1,0,0,1.0e-2,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,1,1,0,,
+1 Moon Sickle,uncommon,1,0,0,2.0,sickle|PHB,M,,,,0,,1,1,simple,L,1D4,S,1D4,0,0,0,,0,0,0,0,0,1,1,0,,
+1 Rhythm-Maker's Drum,uncommon,1,0,0,3.0,,INS,,,,0,,0,0,,,0,,0,1,0,0,,0,0,0,0,0,1,1,0,,
+1 Rod of the Pact Keeper,uncommon,1,0,0,2.0,,RD,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,1,1,0,,
+1 Wand of the War Mage,uncommon,1,0,0,1.0,,WD,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,1,0,0,,
+2 All-Purpose Tool,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,2,2,0,,
+2 Amulet of the Devout,rare,1,0,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,2,2,0,,
+2 Arcane Grimoire,rare,1,0,0,3.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,2,2,0,,
+2 Bloodwell Vial,rare,1,0,0,1.0e-2,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,2,2,0,,
+2 Moon Sickle,rare,1,0,0,2.0,sickle|PHB,M,,,,0,,1,2,simple,L,1D4,S,1D4,0,0,0,,0,0,0,0,0,2,2,0,,
+2 Rhythm-Maker's Drum,rare,1,0,0,3.0,,INS,,,,0,,0,0,,,0,,0,1,0,0,,0,0,0,0,0,2,2,0,,
+2 Rod of the Pact Keeper,rare,1,0,0,2.0,,RD,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,2,2,0,,
+2 Wand of the War Mage,rare,1,0,0,1.0,,WD,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,2,0,0,,
+3 All-Purpose Tool,very rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,3,3,0,,
+3 Amulet of the Devout,very rare,1,0,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,3,3,0,,
+3 Arcane Grimoire,very rare,1,0,0,3.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,3,3,0,,
+3 Bloodwell Vial,very rare,1,0,0,1.0e-2,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,3,3,0,,
+3 Moon Sickle,very rare,1,0,0,2.0,sickle|PHB,M,,,,0,,1,3,simple,L,1D4,S,1D4,0,0,0,,0,0,0,0,0,3,3,0,,
+3 Rhythm-Maker's Drum,very rare,1,0,0,3.0,,INS,,,,0,,0,0,,,0,,0,1,0,0,,0,0,0,0,0,3,3,0,,
+3 Rod of the Pact Keeper,very rare,1,0,0,2.0,,RD,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,3,3,0,,
+3 Wand of the War Mage,very rare,1,0,0,1.0,,WD,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,3,0,0,,
Abacus,none,0,0,0,2.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Abracadabrus,very rare,0,0,0,25.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,20,dawn,
Absorbing Tattoo,very rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,1,0,0,0,0,,
Acid (vial),none,0,0,0,1.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Acid Absorbing Tattoo,very rare,1,0,0,0.0,,,,,acid,0,,0,0,,,0,,0,0,0,0,,0,0,0,1,0,0,0,0,,
Adamantine Bar,none,0,0,0,10.0,,TG,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Adjustable Stilts,unknown,0,0,0,0.0,,OTH,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Airship,none,0,0,0,0.0,,AIR,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
"Akmon, Hammer of Purphoros",artifact,1,0,0,2.0,warhammer|PHB,M,exhaustion,,fire,0,,1,3,martial,V,1D8,B,1D8,1,0,0,,0,0,0,0,0,0,0,0,,"animate objects,heat metal,fabricate,magic weapon,mending,shatter"
Alchemical Compendium,rare,1,0,0,3.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,3,dawn,"enlarge/reduce,feather fall,flesh to stone,gaseous form,magic weapon,polymorph"
Alchemist's Fire (flask),none,0,0,0,1.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Alchemist's Supplies,none,0,0,0,8.0,,AT,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Alchemy Jug,uncommon,0,0,0,12.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Alchemy Jug (Blue),uncommon,0,0,0,12.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Alchemy Jug (Orange),uncommon,0,0,0,12.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Ale (Gallon),none,0,0,0,0.0,,FD,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Ale (Mug),none,0,0,0,0.0,,FD,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Alexandrite,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Amber,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Amethyst,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Amulet,none,0,0,0,1.0,,SCF,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Amulet of dinosaur feathers (Sun Empire),none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Amulet of Health,rare,1,0,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Amulet of Proof against Detection and Location,uncommon,1,0,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Amulet of Protection from Turning,rare,1,0,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Amulet of the Black Skull,very rare,1,0,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,6,dawn,
Amulet of the Drunkard,uncommon,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Amulet of the Planes,very rare,1,0,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,plane shift
Animated Shield,very rare,1,0,0,6.0,,S,,,,0,,0,0,,,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,,
Antitoxin (vial),none,0,0,0,0.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Apparatus of Kwalish,legendary,0,0,0,500.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Aquamarine,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Arcanaloth's Music Box,unknown (magic),0,0,0,0.0,,OTH,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Arcane Cannon,very rare,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Arcane Propulsion Arm,very rare,1,0,0,0.0,,,,,,0,20/60,1,0,,T,1D8,O,1D8,0,0,0,,0,0,0,0,0,0,0,0,,
Armor of Invulnerability,legendary,1,0,0,65.0,,HA,,,,0,,0,0,,,0,,0,0,0,0,18,15,1,0,0,0,0,0,0,,
Armor of Vulnerability (Bludgeoning),rare,1,1,0,65.0,plate armor|phb,HA,,,bludgeoning,0,,0,0,,,0,,0,0,0,0,18,15,1,0,0,0,0,0,0,,
Armor of Vulnerability (Piercing),rare,1,1,0,65.0,plate armor|phb,HA,,,piercing,0,,0,0,,,0,,0,0,0,0,18,15,1,0,0,0,0,0,0,,
Armor of Vulnerability (Slashing),rare,1,1,0,65.0,plate armor|phb,HA,,,slashing,0,,0,0,,,0,,0,0,0,0,18,15,1,0,0,0,0,0,0,,
Arrow-Catching Shield,rare,1,0,0,6.0,,S,,,,0,,0,0,,,0,,0,0,0,2,2,0,0,0,0,0,0,0,0,,
Assassin's Blood,none,0,0,0,0.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,1,0,0,0,0,0,,
Astral Shard,rare,1,0,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Astromancy Archive,rare,1,0,0,3.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,3,dawn,"augury,divination,find the path,foresight,locate creature,locate object"
Atlas of Endless Horizons,rare,1,0,0,3.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,3,dawn,"arcane gate,dimension door,gate,misty step,plane shift,teleportation circle,word of recall"
Axe Beak,none,0,0,0,0.0,,MNT,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Axe of the Dwarvish Lords,artifact,1,1,0,4.0,battleaxe|phb,M,,poison,,0,20/60,0,3,martial,"T,V",1D8,S,1D8,1,0,0,,0,0,0,0,0,0,0,0,,"conjure elemental,teleport"
Azorius Guild Signet,uncommon,1,0,0,0.0,,RG,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,3,dawn,ensnaring strike
Azorius Keyrune,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Azuredge,legendary,1,0,1,4.0,battleaxe|phb,M,,,,0,,0,3,martial,V,1D8,S,1D8,0,0,0,,0,0,0,0,0,0,0,3,dawn,shield
Azurite,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Baba Yaga's Mortar and Pestle,artifact,1,0,0,0.0,,,,,,0,,0,3,,,0,,0,0,0,0,,0,0,0,0,0,0,0,12,dawn,
Baba Yaga's Pestle,artifact,1,0,0,4.0,quarterstaff|PHB,M,,,,0,,1,3,simple,V,1D6,B,1D6,0,0,0,,0,0,0,0,0,0,0,12,dawn,
Backpack,none,0,0,0,5.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Backpack Parachute,unknown,0,0,0,0.0,,OTH,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Badge of the Watch,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,2,,0,0,0,0,0,0,0,0,,
Bag of Beans,rare,0,0,0,0.5,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bag of Bounty,uncommon,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bag of Devouring,very rare,0,0,0,0.5,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bag of Holding,uncommon,0,0,0,15.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
"Bag of Tricks, Gray",uncommon,0,0,0,0.5,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
"Bag of Tricks, Rust",uncommon,0,0,0,0.5,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
"Bag of Tricks, Tan",uncommon,0,0,0,0.5,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Bagpipes,none,0,0,0,6.0,,INS,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Balance of Harmony,uncommon,0,0,0,1.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,detect evil and good
Ball Bearing,none,0,0,0,2.0e-3,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
"Ball Bearings (bag of 1,000)",none,0,0,0,2.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Balloon Pack,uncommon,0,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,"levitate,feather fall"
Band of Loyalty,common,1,0,0,0.0,,RG,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Banded Agate,none,0,0,0,0.0,,$,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Banner of the Krig Rune,rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,1,,0,0,0,0,0,0,0,0,,
Barking Box,unknown,0,0,0,0.0,,OTH,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Barrel,none,0,0,0,70.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Barrier Peaks Trinket,none,0,0,0,0.0,,G,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,
Barrier Tattoo (Large),very rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,1,0,0,0,0,,
Barrier Tattoo (Medium),rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,1,0,0,0,0,,
Barrier Tattoo (Rare),rare,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,1,0,0,0,0,,
Barrier Tattoo (Small),uncommon,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,1,0,0,0,0,,
Barrier Tattoo (Uncommon),uncommon,1,0,0,0.0,,,,,,0,,0,0,,,0,,0,0,0,0,,0,0,0,1,0,0,0,0,,
